,STATIONS_LOOKUP,STATIONS_MTA,ZIPS,GEOCODES
309,"NEREID AV station, New York, NY",NEREID AV,10466.0,"[40.8982534, -73.8543383]"
310,"WAKEFIELD/241 station, New York, NY",WAKEFIELD/241,10470.0,"[40.9033604, -73.8504516]"
311,"3 AV 138 ST station, New York, NY",3 AV 138 ST,10454.0,"[40.81047600000001, -73.926138]"
314,"E 143/ST MARY'S station, New York, NY",E 143/ST MARY'S,10454.0,"[40.80872, -73.907654]"
316,"LONGWOOD AV station, New York, NY",LONGWOOD AV,10455.0,"[40.816104, -73.896435]"
318,"WHITLOCK AV station, New York, NY",WHITLOCK AV,10459.0,"[40.8267442, -73.8863456]"
319,"ELDER AV station, New York, NY",ELDER AV,10472.0,"[40.828601, -73.87917159999999]"
321,"ST LAWRENCE AV station, New York, NY",ST LAWRENCE AV,10472.0,"[40.8314929, -73.8674247]"
324,"ZEREGA AV station, New York, NY",ZEREGA AV,10462.0,"[40.8366593, -73.84666659999999]"
331,"HUNTERS PT AV station, New York, NY",HUNTERS PT AV,10474.0,"[40.8207062, -73.89065219999999]"
336,"ASTORIA BLVD station, New York, NY",ASTORIA BLVD,11105.0,"[40.7750679, -73.91202899999999]"
340,"46 ST BLISS ST station, New York, NY",46 ST BLISS ST,11104.0,"[40.7430616, -73.9182048]"
346,"90 ST-ELMHURST station, New York, NY",90 ST-ELMHURST,11372.0,"[40.7484876, -73.87653279999999]"
348,"103 ST-CORONA station, New York, NY",103 ST-CORONA,11368.0,"[40.7497795, -73.86264609999999]"
350,"FLUSHING-MAIN station, New York, NY",FLUSHING-MAIN,11354.0,"[40.7595582, -73.82992209999999]"
351,"34 ST-HUDSON YD station, New York, NY",34 ST-HUDSON YD,10001.0,"[40.7549699, -74.0010058]"
352,"CLARK ST station, New York, NY",CLARK ST,11201.0,"[40.6977218, -73.99297899999999]"
353,"HOYT ST station, New York, NY",HOYT ST,11201.0,"[40.690545, -73.98506499999999]"
355,"GRAND ARMY PLAZ station, New York, NY",GRAND ARMY PLAZ,11238.0,"[40.675235, -73.971046]"
356,"EASTN PKWY-MUSM station, New York, NY",EASTN PKWY-MUSM,11238.0,"[40.6718194, -73.964328]"
358,"CROWN HTS-UTICA station, New York, NY",CROWN HTS-UTICA,11213.0,"[40.6689471, -73.93184]"
360,"SARATOGA AV station, New York, NY",SARATOGA AV,11212.0,"[40.661561, -73.9160182]"
362,"PENNSYLVANIA AV station, New York, NY",PENNSYLVANIA AV,11207.0,"[40.664635, -73.89489499999999]"
363,"NEW LOTS AV station, New York, NY",NEW LOTS AV,11208.0,"[40.6663015, -73.88371579999999]"
364,"PRESIDENT ST station, New York, NY",PRESIDENT ST,11225.0,"[40.667883, -73.950683]"
365,"STERLING ST station, New York, NY",STERLING ST,11225.0,"[40.6632864, -73.951043]"
366,"WINTHROP ST station, New York, NY",WINTHROP ST,11225.0,"[40.6571876, -73.94999899999999]"
367,"BEVERLY RD station, New York, NY",BEVERLY RD,11226.0,"[40.6442291, -73.96449799999999]"
369,"FLATBUSH AV-B.C station, New York, NY",FLATBUSH AV-B.C,11210.0,"[40.6307828, -73.9455011]"
370,"MORRIS PARK station, New York, NY",MORRIS PARK,10462.0,"[40.854364, -73.860495]"
371,"BAYCHESTER AV station, New York, NY",BAYCHESTER AV,10469.0,"[40.8795827, -73.8379547]"
372,"EASTCHSTER/DYRE station, New York, NY",EASTCHSTER/DYRE,10466.0,"[40.8879657, -73.8310467]"
373,"ST. GEORGE station, New York, NY",ST. GEORGE,10301.0,"[40.64400390000001, -74.0733248]"
374,"TOMPKINSVILLE station, New York, NY",TOMPKINSVILLE,10304.0,"[40.636949, -74.074835]"
375,"RIT-MANHATTAN station, New York, NY",RIT-MANHATTAN,10022.0,"[40.7611977, -73.96420789999999]"
376,"RIT-ROOSEVELT station, New York, NY",RIT-ROOSEVELT,10022.0,"[40.7611977, -73.96420789999999]"
